n,scenario,ops,total_ms,ns_per_op
2000,list_head,200,0.1858,929.0
2000,list_middle,200,0.1032,516.0
2000,list_tail,200,0.02,100.0
2000,dict_delete,200,0.0666,333.0
4000,list_head,200,0.3547,1773.5
4000,list_middle,200,0.2019,1009.5
4000,list_tail,200,0.0387,193.5
4000,dict_delete,200,0.1276,638.0
8000,list_head,400,1.3299,3324.75
8000,list_middle,400,0.7292,1823.0
8000,list_tail,400,0.0816,204.0
8000,dict_delete,400,0.2525,631.25
16000,list_head,800,5.275,6593.75
16000,list_middle,800,2.6981,3372.625
16000,list_tail,800,0.1617,202.125
16000,dict_delete,800,0.695,868.75
32000,list_head,1600,20.9718,13107.375
32000,list_middle,1600,10.8932,6808.25
32000,list_tail,1600,0.3323,207.6875
32000,dict_delete,1600,1.3236,827.25
64000,list_head,3000,78.4816,26160.533333333333
64000,list_middle,3000,39.8842,13294.733333333334
64000,list_tail,3000,0.9097,303.23333333333335
64000,dict_delete,3000,3.0148,1004.9333333333333
128000,list_head,3000,160.2542,53418.066666666666
128000,list_middle,3000,80.9351,26978.366666666665
128000,list_tail,3000,2.1936,731.2
128000,dict_delete,3000,6.9529,2317.633333333333
